Timestamp,MainIncoming_kW,CHWRT,CWRT,CHWST,CWST,CHW Flow,CDW Flow,heat_in,heat_out,lift,chwdt,cwdt,DemoSite Demo avgHum,DemoSite Demo avgTemp,DemoSite Demo Calculated Wet Bulb
2023-05-30T23:45:00+08:00 Singapore,43.41250127156575kW,10.744304784138997°C,28.891855875651043°C,8.945180257161459°C,27.5348876953125°C,37.46256688435872L/s,40.77385787963867L/s,26.816363162899087_RT,44.513795687451534_RT,19.946675618489586Δ°C,1.799124526977538Δ°C,1.3569681803385443Δ°C,77.25%RH,28°C,24.807844014188912°C
2023-05-31T00:00:00+08:00 Singapore,42.55410944620768kW,10.329233932495118°C,28.651507568359374°C,8.892190551757812°C,27.579353841145835°C,37.39784215291341L/s,40.798422749837236L/s,22.617977823006655_RT,35.22757929841856_RT,19.759317016601564Δ°C,1.4370433807373058Δ°C,1.0721537272135393Δ°C,77%RH,28°C,24.771169481998566°C
2023-05-31T00:15:00+08:00 Singapore,42.38018035888672kW,10.232693354288736°C,28.699373372395833°C,8.790591430664062°C,27.1096923828125°C,37.44176305135091L/s,40.80686645507812L/s,22.445094574054963_RT,51.34240698162472_RT,19.90878194173177Δ°C,1.4421019236246746Δ°C,1.5896809895833321Δ°C,77%RH,28°C,24.771169481998566°C
2023-05-31T00:30:00+08:00 Singapore,42.38665084838867kW,10.166860580444336°C,28.679180908203126°C,8.634225463867187°C,27.58711140950521°C,37.43213119506836L/s,40.72588068644206L/s,23.11639466727075_RT,35.892041474618466_RT,20.04495544433594Δ°C,1.5326351165771488Δ°C,1.0920694986979171Δ°C,77%RH,28°C,24.771169481998566°C
2023-05-31T00:45:00+08:00 Singapore,42.52610371907552kW,10.140396944681804°C,28.877872721354166°C,8.569925944010416°C,27.599001057942708°C,37.442918395996095L/s,40.76963653564453L/s,23.41881999363367_RT,42.049610986705034_RT,20.30794677734375Δ°C,1.5704710006713878Δ°C,1.2788716634114579Δ°C,77%RH,28°C,24.771169481998566°C
2023-05-31T01:00:00+08:00 Singapore,42.44115524291992kW,9.941104125976562°C,28.90090128580729°C,8.50280049641927°C,27.56589558919271°C,37.36047108968099L/s,40.781918334960935L/s,21.935904233651044_RT,43.842658466804785_RT,20.398100789388018Δ°C,1.438303629557291Δ°C,1.33500569661458Δ°C,77%RH,28°C,24.771169481998566°C
2023-05-31T01:15:00+08:00 Singapore,42.41085662841797kW,9.904557228088379°C,28.82562255859375°C,8.424365234375°C,27.612180582682292°C,37.36278355916341L/s,40.78614018758138L/s,22.212313366827225_RT,39.91731983660393_RT,20.40125732421875Δ°C,1.4801919937133796Δ°C,1.2134419759114579Δ°C,77.25%RH,28°C,24.807844014188912°C
2023-05-31T01:30:00+08:00 Singapore,42.36821517944336kW,9.919598960876465°C,28.615018717447917°C,8.348752848307292°C,27.303145345052084°C,37.36047185262044L/s,40.79458491007487L/s,22.97285816556847_RT,42.67231976737716_RT,20.266265869140625Δ°C,1.570846112569173Δ°C,1.3118733723958336Δ°C,77.5%RH,28°C,24.844492731625298°C
2023-05-31T01:45:00+08:00 Singapore,42.30577850341797kW,9.736880620320639°C,28.596405029296875°C,8.308897908528646°C,27.373221842447915°C,37.34852803548177L/s,40.779999542236325L/s,21.46144221634548_RT,39.8895442731061_RT,20.28750712076823Δ°C,1.4279827117919925Δ°C,1.22318318684896Δ°C,77.75%RH,28°C,24.88111591655699°C
2023-05-31T02:00:00+08:00 Singapore,42.70862375895182kW,9.698551559448243°C,28.91694539388021°C,8.29912618001302°C,27.682784016927084°C,37.37511189778646L/s,40.80264511108398L/s,21.277912323498278_RT,40.70271415995162_RT,20.617819213867186Δ°C,1.3994253794352218Δ°C,1.234161376953125Δ°C,78%RH,28°C,24.917713848739805°C
