Timestamp,MainIncoming_kW,CHWRT,CWRT,CHWST,CWST,CHW Flow,CDW Flow,heat_in,heat_out,lift,chwdt,cwdt,DemoSite Demo avgHum,DemoSite Demo avgTemp,DemoSite Demo Calculated Wet Bulb
2023-05-23T00:00:00+08:00 Singapore,42.54514668782552kW,10.525258255004882°C,28.472578938802084°C,8.96015116373698°C,26.992569986979166°C,37.03183390299479L/s,39.691870880126956L/s,24.066055746946535_RT,47.59378374873354_RT,19.512427775065106Δ°C,1.5651070912679028Δ°C,1.4800089518229171Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T00:15:00+08:00 Singapore,46.34864985148112kW,9.629318936665852°C,28.919789632161457°C,7.921629842122396°C,27.350736490885417°C,37.01680908203125L/s,39.72641576131185L/s,24.557304521227245_RT,51.12676719940942_RT,20.99815979003906Δ°C,1.707689094543456Δ°C,1.56905314127604Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T00:30:00+08:00 Singapore,29.45850486755371kW,10.144361813863119°C,27.815582275390625°C,9.182142130533855°C,26.93851114908854°C,37.10079727172852L/s,39.72219365437825L/s,14.154337959196035_RT,28.148163041646722_RT,18.63344014485677Δ°C,0.9622196833292644Δ°C,0.8770711263020843Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T00:45:00+08:00 Singapore,46.120402018229164kW,10.047283744812011°C,28.84269816080729°C,8.296312459309895°C,27.41950887044271°C,37.04570388793945L/s,39.72065836588542L/s,25.681897187293032_RT,46.490476043918804_RT,20.546385701497396Δ°C,1.750971285502116Δ°C,1.4231892903645829Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T01:00:00+08:00 Singapore,32.838269805908205kW,9.770672671000163°C,28.156748453776043°C,8.456605021158854°C,27.328745524088543°C,37.05263875325521L/s,39.70223490397135L/s,17.826263565496586_RT,26.95834486569732_RT,19.70014343261719Δ°C,1.3140676498413093Δ°C,0.8280029296875Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T01:15:00+08:00 Singapore,44.98617757161458kW,10.497442690531413°C,28.474886067708333°C,8.876833089192708°C,27.235148111979168°C,37.07960840861003L/s,39.72679901123047L/s,25.20060375299262_RT,40.225485435805034_RT,19.598052978515625Δ°C,1.620609601338705Δ°C,1.239737955729165Δ°C,74.25%RH,28°C,24.36596254732215°C
2023-05-23T01:30:00+08:00 Singapore,42.354271697998044kW,9.37087968190511°C,28.699397786458334°C,7.9787343343098955°C,27.354612223307292°C,36.99947026570638L/s,39.66308441162109L/s,20.5407631350202_RT,43.82533609856681_RT,20.72066345214844Δ°C,1.392145347595215Δ°C,1.3447855631510421Δ°C,74.5%RH,28°C,24.40294041272278°C
2023-05-23T01:45:00+08:00 Singapore,33.047791163126625kW,10.503849601745605°C,27.936104329427085°C,9.210684204101563°C,26.891729736328124°C,37.02104771931966L/s,39.726416015625L/s,18.878924357750016_RT,33.45928765187081_RT,18.72542012532552Δ°C,1.2931653976440423Δ°C,1.0443745930989614Δ°C,74.75%RH,28°C,24.43988918561576°C
2023-05-23T02:00:00+08:00 Singapore,46.13238703409831kW,9.72332369486491°C,28.832340494791666°C,8.101124064127605°C,27.388480631510415°C,37.011800384521486L/s,39.70799128214518L/s,24.03794170744505_RT,47.112336053850754_RT,20.731216430664062Δ°C,1.6221996307373043Δ°C,1.4438598632812507Δ°C,75%RH,28°C,24.476809177650935°C
2023-05-23T02:15:00+08:00 Singapore,28.41703898111979kW,9.921253903706868°C,27.552010091145835°C,8.964321899414063°C,26.836651611328126°C,37.030678304036456L/s,39.696092732747395L/s,13.564508149598375_RT,22.871450724288696_RT,18.587688191731772Δ°C,0.9569320042928045Δ°C,0.7153584798177093Δ°C,75.5%RH,27.75°C,24.31363782957465°C
2023-05-23T02:30:00+08:00 Singapore,46.47641270955403kW,10.028720092773437°C,28.546728515625°C,8.389403279622396°C,27.2309814453125°C,37.0360720316569L/s,39.734858957926434L/s,24.84635091269648_RT,42.685203925138566_RT,20.157325236002603Δ°C,1.6393168131510407Δ°C,1.3157470703124972Δ°C,76%RH,27.5°C,24.149650998462082°C
2023-05-23T02:45:00+08:00 Singapore,30.534735361735027kW,9.72696787516276°C,27.605029296875°C,8.460464477539062°C,26.849312337239585°C,37.007947285970054L/s,39.73063710530599L/s,17.265882188099184_RT,24.173191379551703_RT,19.144564819335937Δ°C,1.2665033976236977Δ°C,0.7557169596354143Δ°C,76.5%RH,27.25°C,23.984858319766257°C
2023-05-23T03:00:00+08:00 Singapore,44.33575236002604kW,10.406031290690104°C,28.00435994466146°C,8.892525227864583°C,26.51113077799479°C,37.02836608886719L/s,39.70722401936849L/s,23.866491648671513_RT,47.16245143095766_RT,19.111834716796878Δ°C,1.5135060628255204Δ°C,1.4932291666666693Δ°C,77%RH,27°C,23.819269274495586°C
2023-05-23T03:15:00+08:00 Singapore,39.78684056599935kW,9.473400815327961°C,28.125376383463543°C,8.088802083333333°C,26.85500284830729°C,36.9990852355957L/s,39.71221389770508L/s,19.903738603129337_RT,40.6441733727888_RT,20.036574300130212Δ°C,1.384598731994629Δ°C,1.2703735351562528Δ°C,77.75%RH,27°C,23.927150401669113°C
2023-05-23T03:30:00+08:00 Singapore,35.87015075683594kW,10.62766138712565°C,27.394541422526043°C,9.166975911458334°C,26.339998372395833°C,37.07922388712565L/s,39.715284220377605L/s,21.567219501338812_RT,33.09190068773784_RT,18.22756551106771Δ°C,1.4606854756673169Δ°C,1.05454305013021Δ°C,78.5%RH,27°C,24.034825092406475°C
2023-05-23T03:45:00+08:00 Singapore,45.26840387980143kW,9.737700589497884°C,28.26423543294271°C,7.9712646484375°C,26.729862467447916°C,36.99716008504232L/s,39.66308619181315L/s,24.90539889916348_RT,48.8617836936761_RT,20.292970784505208Δ°C,1.7664359410603838Δ°C,1.5343729654947929Δ°C,79.25%RH,27°C,24.14230041434335°C
2023-05-23T04:00:00+08:00 Singapore,29.259621556599935kW,10.267357190450033°C,27.056783040364582°C,9.208151245117188°C,26.523264567057293°C,37.016038767496745L/s,39.70415344238281L/s,15.209398244593796_RT,16.858467524414515_RT,17.848631795247393Δ°C,1.0592059453328453Δ°C,0.5335184733072893Δ°C,80%RH,27°C,24.24958325050458°C
2023-05-23T04:15:00+08:00 Singapore,44.93579915364583kW,9.739849789937336°C,28.181463623046874°C,8.248734537760416°C,27.011446126302083°C,37.066122945149736L/s,39.69072011311849L/s,22.691428281098133_RT,37.651462209508104_RT,19.932729085286457Δ°C,1.49111525217692Δ°C,1.1700174967447907Δ°C,80.5%RH,26.75°C,24.080660631733227°C
2023-05-23T04:30:00+08:00 Singapore,26.64645004272461kW,9.703352801005046°C,27.28592325846354°C,8.900819905598958°C,26.852685546875°C,37.04185180664062L/s,39.72679824829102L/s,11.354782655658344_RT,13.859757575275145_RT,18.385103352864583Δ°C,0.8025328954060882Δ°C,0.4332377115885393Δ°C,81%RH,26.5°C,23.910999232857066°C
2023-05-23T04:45:00+08:00 Singapore,48.01684672037761kW,10.319446245829264°C,28.450496419270834°C,8.475804646809896°C,26.85191446940104°C,36.9886843363444L/s,39.72065836588542L/s,27.537755666673366_RT,51.13895094144788_RT,19.974691772460936Δ°C,1.8436415990193673Δ°C,1.5985819498697929Δ°C,81.5%RH,26.25°C,23.74060742679481°C
2023-05-23T05:00:00+08:00 Singapore,36.32611668904622kW,9.610891660054525°C,27.982881673177083°C,8.212259928385416°C,27.085685221354165°C,37.01334126790365L/s,39.73025410970052L/s,19.264678166068336_RT,28.951363955520605_RT,19.77062174479167Δ°C,1.3986317316691093Δ°C,0.8971964518229179Δ°C,82%RH,26°C,23.569493458791765°C
2023-05-23T05:15:00+08:00 Singapore,39.76723124186198kW,10.368703397115071°C,27.882586669921874°C,9.068716430664063°C,27.017390950520834°C,37.076140594482425L/s,39.734475962320964L/s,20.400780246590575_RT,27.848347139339594_RT,18.81387023925781Δ°C,1.2999869664510086Δ°C,0.86519571940104Δ°C,82.25%RH,26°C,23.60440995140172°C
2023-05-23T05:30:00+08:00 Singapore,45.78979975382487kW,9.628573608398437°C,28.429048665364583°C,7.967664591471354°C,26.95903116861979°C,37.0695910135905L/s,39.749061330159506L/s,24.03883186457866_RT,47.21374383853778_RT,20.461384073893228Δ°C,1.660909016927083Δ°C,1.4700174967447914Δ°C,82.5%RH,26°C,23.639310019482565°C
2023-05-23T05:45:00+08:00 Singapore,29.95284589131673kW,10.094230588277181°C,26.015138753255208°C,8.995701090494792°C,25.319205729166665°C,37.22716700236003L/s,39.75750478108724L/s,15.538719208551889_RT,20.992259087430558_RT,17.019437662760417Δ°C,1.0985294977823887Δ°C,0.6959330240885429Δ°C,82.75%RH,26°C,23.674193877416688°C
2023-05-23T06:00:00+08:00 Singapore,42.054525756835936kW,10.176290639241536°C,26.676066080729168°C,8.493036905924479°C,25.22123006184896°C,37.23602854410807L/s,39.75136235555013L/s,24.230083389580464_RT,43.714142446776414_RT,18.183029174804688Δ°C,1.6832537333170574Δ°C,1.4548360188802079Δ°C,83%RH,26°C,23.709061737763808°C
2023-05-23T06:15:00+08:00 Singapore,41.4641721089681kW,9.394777615865072°C,26.469736735026043°C,7.905946858723959°C,25.232076009114582°C,37.22254333496094L/s,39.77208938598633L/s,21.055102463895285_RT,37.20456651851506_RT,18.563789876302085Δ°C,1.4888307571411135Δ°C,1.2376607259114607Δ°C,83.25%RH,26°C,23.74391381128044°C
2023-05-23T06:30:00+08:00 Singapore,43.154944610595706kW,10.954001998901367°C,26.576529947916665°C,8.995863850911459°C,25.067985026041665°C,37.27224299112956L/s,39.74253463745117L/s,28.505392620055026_RT,45.05254493548558_RT,17.580666097005206Δ°C,1.9581381479899083Δ°C,1.508544921875Δ°C,83.5%RH,26°C,23.77875030693914°C
2023-05-23T06:45:00+08:00 Singapore,51.45426483154297kW,11.10607515970866°C,27.325626627604166°C,8.970639038085938°C,25.539656575520834°C,37.31770579020182L/s,39.716819763183594L/s,32.68242643185015_RT,54.341407130089394_RT,18.354987589518228Δ°C,2.135436121622721Δ°C,1.7859700520833321Δ°C,83.75%RH,26°C,23.813571431947473°C
2023-05-23T07:00:00+08:00 Singapore,55.86259892781575kW,11.357927068074543°C,28.027294921875°C,8.953919474283854°C,25.904632568359375°C,37.45178019205729L/s,39.694174448649086L/s,36.78457360894239_RT,65.50885502462386_RT,19.073375447591147Δ°C,2.4040075937906895Δ°C,2.1226623535156257Δ°C,84%RH,26°C,23.84837739176672°C
2023-05-23T07:15:00+08:00 Singapore,53.85740203857422kW,11.323853683471679°C,27.883487955729166°C,9.023110961914062°C,25.659596761067707°C,37.422498067220054L/s,39.72411168416341L/s,35.30229925749857_RT,67.98373441232701_RT,18.860376993815102Δ°C,2.300742721557617Δ°C,2.2238911946614586Δ°C,84.25%RH,26°C,23.883168390130383°C
2023-05-23T07:30:00+08:00 Singapore,53.34534759521485kW,11.356292978922527°C,27.609071858723958°C,8.964468383789063°C,25.478391520182292°C,37.41787541707357L/s,39.73908233642578L/s,35.962079863050434_RT,64.67433323119792_RT,18.644603474934897Δ°C,2.391824595133464Δ°C,2.1306803385416657Δ°C,84.5%RH,26°C,23.91794462906236°C
2023-05-23T07:45:00+08:00 Singapore,53.57442728678385kW,11.065875371297201°C,27.679939778645835°C,8.904539998372396°C,25.617464192708333°C,37.41363754272461L/s,39.72795079549154L/s,33.411451653550465_RT,62.94577845716899_RT,18.77539978027344Δ°C,2.161335372924805Δ°C,2.062475585937502Δ°C,84.75%RH,26°C,23.95270630889498°C
2023-05-23T08:00:00+08:00 Singapore,54.949364217122394kW,11.195532671610515°C,27.664412434895834°C,8.955985514322917°C,25.668894449869793°C,37.34082158406576L/s,39.693023427327475L/s,34.76742051125057_RT,61.02453307437779_RT,18.70842692057292Δ°C,2.239547157287598Δ°C,1.9955179850260407Δ°C,85%RH,26°C,23.987453628286733°C
2023-05-23T08:15:00+08:00 Singapore,57.41129048665365kW,11.571193567911784°C,28.11937255859375°C,8.975270589192709°C,25.94444376627604°C,37.32733840942383L/s,39.71643575032552L/s,39.338004892726296_RT,67.2250387727821_RT,19.144101969401042Δ°C,2.5959229787190754Δ°C,2.174928792317708Δ°C,84.75%RH,26°C,23.95270630889498°C
2023-05-23T08:30:00+08:00 Singapore,60.83874715169271kW,11.666511344909669°C,28.576479085286458°C,8.962155151367188°C,26.17840576171875°C,37.32040303548177L/s,39.66730626424154L/s,41.432188555045826_RT,74.79064998005983_RT,19.61432393391927Δ°C,2.7043561935424805Δ°C,2.398073323567708Δ°C,84.5%RH,26°C,23.91794462906236°C
2023-05-23T08:45:00+08:00 Singapore,64.35394592285157kW,11.845057169596354°C,29.09909464518229°C,8.9415771484375°C,26.374086507161458°C,37.31308161417643L/s,39.70568949381511L/s,44.42927353121803_RT,85.62229898460305_RT,20.15751749674479Δ°C,2.9034800211588543Δ°C,2.725008138020833Δ°C,84.25%RH,26°C,23.883168390130383°C
2023-05-23T09:00:00+08:00 Singapore,66.26945648193359kW,11.790386708577474°C,29.284102376302084°C,8.981956990559896°C,26.709415690104166°C,37.32387034098307L/s,39.729871114095054L/s,44.1191612756245_RT,81.92763705393828_RT,20.302145385742186Δ°C,2.808429718017578Δ°C,2.574686686197918Δ°C,84%RH,26°C,23.84837739176672°C
2023-05-23T09:15:00+08:00 Singapore,71.01063181559245kW,11.990754191080729°C,29.44997355143229°C,8.926400756835937°C,26.5573974609375°C,37.31732050577799L/s,39.699164326985674L/s,48.0540466857393_RT,91.51914624399816_RT,20.523572794596355Δ°C,3.064353434244792Δ°C,2.8925760904947886Δ°C,82.75%RH,26.25°C,23.915998885863132°C
2023-05-23T09:30:00+08:00 Singapore,71.9932154337565kW,11.929074350992838°C,29.591768391927083°C,8.935918172200521°C,26.695467122395833°C,37.28881047566732L/s,39.72065862019857L/s,47.59512114792293_RT,92.1134214329232_RT,20.65585021972656Δ°C,2.993156178792317Δ°C,2.89630126953125Δ°C,81.5%RH,26.5°C,23.981604420462276°C
2023-05-23T09:45:00+08:00 Singapore,72.04776458740234kW,11.886680348714192°C,29.751704915364584°C,8.94671630859375°C,27.001102701822916°C,37.281105041503906L/s,39.71221415201823L/s,47.08119488426076_RT,88.48118768329348_RT,20.804988606770834Δ°C,2.939964040120442Δ°C,2.7506022135416686Δ°C,80.25%RH,26.75°C,24.045127023472812°C
2023-05-23T10:00:00+08:00 Singapore,77.19601643880209kW,12.195449829101562°C,30.166575113932293°C,8.95751953125°C,27.127803548177084°C,37.3778081258138L/s,39.71950709025065L/s,51.743314569404134_RT,98.2096900444862_RT,21.209055582682293Δ°C,3.2379302978515625Δ°C,3.0387715657552086Δ°C,79%RH,27°C,24.106497030511296°C
2023-05-23T10:15:00+08:00 Singapore,79.19596761067709kW,11.972812143961589°C,30.495290120442707°C,8.950064086914063°C,27.525034586588543°C,37.42750803629557L/s,39.756352233886716L/s,50.008735385710274_RT,97.4009833944932_RT,21.545226033528643Δ°C,3.022748057047526Δ°C,2.9702555338541643Δ°C,78.5%RH,27.5°C,24.51283028686674°C
2023-05-23T10:30:00+08:00 Singapore,78.0726323445638kW,12.127813529968261°C,30.469158935546876°C,8.948778279622395°C,27.54416300455729°C,37.38975219726562L/s,39.78437296549479L/s,51.334665282319364_RT,95.98348198420133_RT,21.52038065592448Δ°C,3.1790352503458656Δ°C,2.924995930989585Δ°C,78%RH,28°C,24.917713848739805°C
2023-05-23T10:45:00+08:00 Singapore,77.30042928059896kW,12.139737256368°C,30.52506306966146°C,8.955209350585937°C,27.50797119140625°C,37.37819264729818L/s,39.7836046854655L/s,51.204456324692856_RT,98.87551333652712_RT,21.569853719075525Δ°C,3.1845279057820637Δ°C,3.0170918782552114Δ°C,77.5%RH,28.5°C,25.32113179688091°C
2023-05-23T11:00:00+08:00 Singapore,77.75926462809245kW,11.983548800150553°C,30.61746622721354°C,8.93900655110677°C,27.78883260091146°C,37.41017074584961L/s,39.77017059326172L/s,49.782491403916836_RT,93.64587612319824_RT,21.67845967610677Δ°C,3.044542249043783Δ°C,2.828633626302082Δ°C,77%RH,29°C,25.72306796198307°C
2023-05-23T11:15:00+08:00 Singapore,76.50013987223308kW,12.098002243041993°C,30.36872762044271°C,8.945689900716145°C,27.40296630859375°C,37.38435668945313L/s,39.81853230794271L/s,50.603978556564456_RT,96.82230711407948_RT,21.423037719726565Δ°C,3.152312342325848Δ°C,2.965761311848958Δ°C,76.75%RH,29°C,25.685674185588756°C
2023-05-23T11:30:00+08:00 Singapore,80.90459391276042kW,12.28577740987142°C,30.572438557942707°C,8.962666829427084°C,27.44148966471354°C,37.561581166585285L/s,39.832350158691405L/s,53.75001151772183_RT,102.35883084989877_RT,21.609771728515625Δ°C,3.323110580444336Δ°C,3.130948893229167Δ°C,76.5%RH,29°C,25.648251651308424°C
2023-05-23T11:45:00+08:00 Singapore,65.56532185872396kW,11.447419420878093°C,29.88271687825521°C,8.84126688639323°C,27.384598795572916°C,37.663291676839194L/s,39.76518122355143L/s,41.34717811508904_RT,81.50063645895469_RT,21.04144999186198Δ°C,2.6061525344848633Δ°C,2.498118082682293Δ°C,76.25%RH,29°C,25.61080005546362°C
2023-05-23T12:00:00+08:00 Singapore,59.30981292724609kW,11.229006894429524°C,29.503287760416665°C,8.963694254557291°C,27.227109781901042°C,37.61628977457682L/s,39.788978322347006L/s,36.32321332842729_RT,73.83281287476773_RT,20.539593505859372Δ°C,2.265312639872233Δ°C,2.276177978515623Δ°C,76%RH,29°C,25.5733190916518°C
2023-05-23T12:15:00+08:00 Singapore,65.77913436889648kW,11.852896817525227°C,29.671240234375°C,9.0447265625°C,27.10196329752604°C,37.54077657063802L/s,39.78360443115234L/s,44.21921667224689_RT,82.95705497041168_RT,20.626513671875Δ°C,2.808170255025228Δ°C,2.569276936848958Δ°C,75.5%RH,29°C,25.498267820707635°C
2023-05-23T12:30:00+08:00 Singapore,80.43599955240886kW,11.996324284871418°C,30.20590616861979°C,8.937713623046875°C,27.054638671875°C,37.60665740966797L/s,39.78053385416667L/s,50.68335275271015_RT,101.5707508084048_RT,21.268192545572916Δ°C,3.0586106618245434Δ°C,3.15126749674479Δ°C,75%RH,29°C,25.42309533156935°C
2023-05-23T12:45:00+08:00 Singapore,78.2399408976237kW,11.976199340820312°C,30.370538330078126°C,8.97064208984375°C,27.40144246419271°C,37.426737467447914L/s,39.7256472269694L/s,49.626107213451306_RT,96.92577906496331_RT,21.399896240234376Δ°C,3.005557250976562Δ°C,2.969095865885418Δ°C,74.5%RH,29°C,25.347799071687664°C
2023-05-23T13:00:00+08:00 Singapore,82.9903569539388kW,12.420350138346354°C,30.854075113932293°C,9.217318725585937°C,27.684859212239584°C,37.70759887695313L/s,39.77746404012044L/s,54.033646373737355_RT,104.52876043673857_RT,21.636756388346356Δ°C,3.203031412760417Δ°C,3.1692159016927093Δ°C,74%RH,29°C,25.272376441798073°C
2023-05-23T13:15:00+08:00 Singapore,83.24257863362631kW,12.555899238586425°C,31.02364298502604°C,9.24870096842448°C,27.80177205403646°C,37.63324152628581L/s,39.76441319783529L/s,55.36844586247534_RT,106.71421435134064_RT,21.77494201660156Δ°C,3.307198270161946Δ°C,3.2218709309895814Δ°C,73.75%RH,29°C,25.234616912785352°C
2023-05-23T13:30:00+08:00 Singapore,83.76776275634765kW,12.64495137532552°C,31.24111124674479°C,9.420282999674479°C,28.05838826497396°C,37.685637664794925L/s,39.72526372273763L/s,55.26988067473261_RT,106.39058951105456_RT,21.82082824707031Δ°C,3.224668375651042Δ°C,3.18272298177083Δ°C,73.5%RH,29°C,25.196824794816465°C
2023-05-23T13:45:00+08:00 Singapore,93.60010325113932kW,12.508611488342286°C,32.05270792643229°C,8.622456868489584°C,28.142936197916665°C,37.79274419148763L/s,39.72180964152018L/s,61.83268625876948_RT,131.08785667156693_RT,23.430251057942705Δ°C,3.886154619852702Δ°C,3.9097717285156257Δ°C,73.25%RH,29°C,25.158999749347466°C
2023-05-23T14:00:00+08:00 Singapore,84.54609832763671kW,12.203795878092448°C,31.49330037434896°C,8.625735473632812°C,27.934206136067708°C,37.820098368326825L/s,39.72296091715495L/s,56.07648984029066_RT,118.44520276947024_RT,22.867564900716147Δ°C,3.5780604044596362Δ°C,3.5590942382812507Δ°C,73%RH,29°C,25.12114143470163°C
2023-05-23T14:15:00+08:00 Singapore,84.26387227376303kW,12.038368097941081°C,31.5238525390625°C,8.6252197265625°C,27.975321451822918°C,37.793515014648435L/s,39.73946584065755L/s,54.32969998680117_RT,118.26748307655548_RT,22.898632812499997Δ°C,3.413148371378581Δ°C,3.5485310872395814Δ°C,73.5%RH,28.75°C,24.961331581440213°C
2023-05-23T14:30:00+08:00 Singapore,85.7984832763672kW,12.012268320719402°C,31.894913736979166°C,8.62830810546875°C,28.476369222005207°C,37.758069864908855L/s,39.68227615356445L/s,54.42987998124306_RT,115.97583538384589_RT,23.266605631510416Δ°C,3.383960215250651Δ°C,3.4185445149739593Δ°C,74%RH,28.5°C,24.80066609046037°C
2023-05-23T14:45:00+08:00 Singapore,85.29376220703125kW,12.115242385864258°C,32.03189697265625°C,8.643996175130209°C,28.566145833333334°C,37.83782094319661L/s,39.69801279703776L/s,55.242168397315915_RT,117.94802639768744_RT,23.38790079752604Δ°C,3.4712462107340496Δ°C,3.465751139322915Δ°C,74.5%RH,28.25°C,24.63915524944213°C
2023-05-23T15:00:00+08:00 Singapore,84.56672770182291kW,12.007326380411785°C,31.830942789713543°C,8.659686279296874°C,28.51259765625°C,37.79235941569011L/s,39.68035710652669L/s,53.86191851376482_RT,112.71974416785294_RT,23.17125651041667Δ°C,3.3476401011149104Δ°C,3.3183451334635414Δ°C,75%RH,28°C,24.476809177650935°C
2023-05-23T15:15:00+08:00 Singapore,80.5907470703125kW,11.891192309061687°C,31.12332560221354°C,8.603876749674479°C,27.81235555013021°C,37.967272440592446L/s,39.714132944742836L/s,51.853185545486326_RT,109.7070860720302_RT,22.519448852539064Δ°C,3.287315559387208Δ°C,3.3109700520833307Δ°C,75.75%RH,28°C,24.58739954284959°C
2023-05-23T15:30:00+08:00 Singapore,82.39309590657552kW,12.09256197611491°C,30.95452880859375°C,8.723725382486979°C,27.674772135416667°C,37.871725463867186L/s,39.67882181803385L/s,53.64588078987318_RT,108.13526098698088_RT,22.23080342610677Δ°C,3.3688365936279308Δ°C,3.279756673177083Δ°C,76.5%RH,28°C,24.697741831720407°C
2023-05-23T15:45:00+08:00 Singapore,83.56330871582031kW,12.005563481648762°C,31.245786539713542°C,8.605415852864583°C,27.82064005533854°C,37.793128712972006L/s,39.697628784179685L/s,53.87679172143487_RT,113.52406190939884_RT,22.64037068684896Δ°C,3.400147628784179Δ°C,3.425146484375002Δ°C,77.25%RH,28°C,24.807844014188912°C
2023-05-23T16:00:00+08:00 Singapore,82.34450734456381kW,12.107749811808269°C,31.138079833984374°C,8.649908447265625°C,27.63985799153646°C,37.751905314127605L/s,39.64926783243815L/s,54.31425877715578_RT,115.19266057229298_RT,22.488171386718747Δ°C,3.4578413645426433Δ°C,3.498221842447915Δ°C,78%RH,28°C,24.917713848739805°C
2023-05-23T16:15:00+08:00 Singapore,82.27675832112631kW,12.21808344523112°C,31.03477783203125°C,8.632163492838542°C,27.703483072916665°C,37.74651107788086L/s,39.671529388427736L/s,55.541134418162706_RT,109.94844492306304_RT,22.40261433919271Δ°C,3.5859199523925778Δ°C,3.3312947591145843Δ°C,78.25%RH,28°C,24.95428680546416°C
2023-05-23T16:30:00+08:00 Singapore,69.0016471862793kW,11.105651473999023°C,30.142523193359374°C,8.602598063151042°C,27.548575846354165°C,37.80622889200846L/s,39.711829630533856L/s,40.511297709988526_RT,85.13378914286861_RT,21.53992513020833Δ°C,2.503053410847981Δ°C,2.5939473470052086Δ°C,78.5%RH,28°C,24.990835061582747°C
2023-05-23T16:45:00+08:00 Singapore,90.57205505371094kW,11.777425193786621°C,30.993216959635415°C,8.081364949544271°C,27.365985107421874°C,37.85400314331055L/s,39.671146138509116L/s,56.47306472005989_RT,118.25732676617802_RT,22.911852010091145Δ°C,3.69606024424235Δ°C,3.6272318522135407Δ°C,78.75%RH,28°C,25.0273588895378°C
2023-05-23T17:00:00+08:00 Singapore,89.87457275390625kW,11.417249997456869°C,31.35865681966146°C,7.6794189453125°C,27.551422119140625°C,37.882127380371095L/s,39.6673080444336L/s,54.95651398506294_RT,124.96699463391776_RT,23.679237874348956Δ°C,3.7378310521443687Δ°C,3.8072347005208336Δ°C,79%RH,28°C,25.063858559388002°C
2023-05-23T17:15:00+08:00 Singapore,87.15730845133463kW,11.132430521647136°C,31.002675374348957°C,7.604596964518229°C,27.45157470703125°C,37.82741902669271L/s,39.65310567220052L/s,52.000499074914615_RT,116.13734689901734_RT,23.398078409830728Δ°C,3.527833557128907Δ°C,3.5511006673177086Δ°C,79%RH,27.75°C,24.824518332003166°C
2023-05-23T17:30:00+08:00 Singapore,85.42313537597656kW,11.336027844746907°C,31.116070556640626°C,7.646243286132813°C,27.413564046223957°C,37.87634785970052L/s,39.6788215637207L/s,53.1540647386052_RT,120.92135009863495_RT,23.469827270507814Δ°C,3.689784558614094Δ°C,3.7025065104166686Δ°C,79%RH,27.5°C,24.585178001879992°C
2023-05-23T17:45:00+08:00 Singapore,83.8529067993164kW,10.847472445170085°C,30.795572916666668°C,7.596625773111979°C,27.172283935546876°C,37.79390055338542L/s,39.67229741414388L/s,48.52016986287947_RT,117.29264285682433_RT,23.19894714355469Δ°C,3.250846672058106Δ°C,3.623288981119792Δ°C,79%RH,27.25°C,24.34583756829336°C
2023-05-23T18:00:00+08:00 Singapore,78.01635945638021kW,10.750778770446777°C,30.227162679036457°C,7.769428507486979°C,27.278887939453124°C,37.536539204915364L/s,39.67229741414388L/s,45.029579879745_RT,95.8156097890421_RT,22.45773417154948Δ°C,2.981350262959798Δ°C,2.948274739583333Δ°C,79%RH,27°C,24.106497030511296°C
2023-05-23T18:15:00+08:00 Singapore,83.68579864501953kW,10.874106216430665°C,30.270098876953124°C,7.670929972330729°C,27.225046793619793°C,37.461796315511066L/s,39.70952682495117L/s,48.318331828582814_RT,98.76544272619047_RT,22.599168904622395Δ°C,3.203176244099936Δ°C,3.0450520833333314Δ°C,79%RH,27.25°C,24.34583756829336°C
2023-05-23T18:30:00+08:00 Singapore,80.54904174804688kW,10.669657262166341°C,30.253285725911457°C,7.684047444661458°C,27.22348429361979°C,37.517660522460936L/s,39.719122568766274L/s,45.49097720129738_RT,98.26515201678241_RT,22.569238281249998Δ°C,2.9856098175048826Δ°C,3.0298014322916664Δ°C,79%RH,27.5°C,24.585178001879992°C
2023-05-23T18:45:00+08:00 Singapore,81.99152221679688kW,10.83949254353841°C,30.4823486328125°C,7.664760335286458°C,27.37349650065104°C,37.42095820109049L/s,39.71643575032552L/s,47.556720564276944_RT,101.38460076929144_RT,22.81758829752604Δ°C,3.1747322082519522Δ°C,3.1088521321614593Δ°C,79%RH,27.75°C,24.824518332003166°C
2023-05-23T19:00:00+08:00 Singapore,72.3638926188151kW,10.474995231628418°C,30.082460530598958°C,7.775065104166667°C,27.496590169270835°C,37.387053680419925L/s,39.67076110839844L/s,40.846640952501986_RT,84.70854920696972_RT,22.30739542643229Δ°C,2.6999301274617507Δ°C,2.585870361328123Δ°C,79%RH,28°C,25.063858559388002°C
2023-05-23T19:15:00+08:00 Singapore,72.39444376627604kW,10.369477717081706°C,30.108856201171875°C,7.721841430664062°C,27.419248453776042°C,37.40708796183268L/s,39.715667978922525L/s,40.211526180657785_RT,87.85897829380383_RT,22.38701477050781Δ°C,2.6476362864176437Δ°C,2.689607747395833Δ°C,78.75%RH,28°C,25.0273588895378°C
